OrderID,OrderDate,Region,Category,Product,Quantity,UnitPrice,Discount,Revenue
10038,2023-01-02,North,Furniture,Table,4,164.12,0.0,656.47
10039,2023-01-02,West,Electronics,Laptop,3,536.14,0.0,1608.42
10040,2023-01-02,West,Furniture,Bookshelf,4,166.47,0.15,565.99
10041,2023-01-02,East,Electronics,Headphones,5,526.46,0.05,2500.69
10042,2023-01-02,South,Clothing,Jacket,1,34.41,0.1,30.97
10043,2023-01-02,South,Grocery,Rice,3,5.18,0.1,13.99
10044,2023-01-02,West,Clothing,Jeans,3,44.95,0.15,114.63
10045,2023-01-02,West,Clothing,Dress,1,43.06,0.15,36.6
10046,2023-01-02,East,Furniture,Bookshelf,1,214.06,0.0,214.06
10047,2023-01-02,North,Furniture,Sofa,2,180.64,0.15,307.08
10048,2023-01-02,West,Furniture,Bookshelf,1,201.33,0.0,201.33
10049,2023-01-02,South,Electronics,Tablet,4,511.66,0.15,1739.64
10050,2023-01-02,East,Clothing,T-Shirt,1,37.59,0.15,31.95
10051,2023-01-02,West,Clothing,Dress,1,42.27,0.1,38.05
10052,2023-01-02,North,Grocery,Bread,4,5.16,0.15,17.55
10053,2023-01-02,South,Electronics,Headphones,1,401.01,0.15,340.86
10054,2023-01-02,South,Furniture,Table,3,212.16,0.0,636.47
10055,2023-01-02,West,Electronics,Tablet,1,498.78,0.15,423.96
10056,2023-01-02,West,Grocery,Bread,3,5.32,0.0,15.95
10057,2023-01-02,West,Grocery,Eggs,3,5.27,0.05,15.03
10058,2023-01-02,South,Furniture,Table,5,198.94,0.15,845.49
10059,2023-01-02,East,Clothing,Jeans,5,40.04,0.15,170.18
10060,2023-01-02,East,Grocery,Rice,5,4.46,0.15,18.96
10061,2023-01-02,East,Grocery,Eggs,1,4.09,0.15,3.47
10062,2023-01-03,South,Electronics,Smartphone,5,576.7,0.15,2450.97
10063,2023-01-03,North,Electronics,Tablet,5,485.64,0.0,2428.18
10064,2023-01-03,East,Clothing,Dress,1,33.21,0.0,33.21
10065,2023-01-03,North,Grocery,Eggs,1,4.63,0.15,3.94
10066,2023-01-03,South,Electronics,Smartphone,2,586.0,0.05,1113.41
10067,2023-01-03,West,Furniture,Bookshelf,2,180.33,0.05,342.63
10068,2023-01-03,South,Furniture,Chair,1,170.93,0.05,162.38
10069,2023-01-03,West,Clothing,T-Shirt,2,44.95,0.1,80.91
10070,2023-01-03,South,Electronics,Tablet,5,416.32,0.1,1873.43
10071,2023-01-03,North,Grocery,Rice,4,5.3,0.15,18.02
10072,2023-01-03,South,Grocery,Milk,4,5.77,0.1,20.78
10073,2023-01-03,West,Furniture,Table,3,197.25,0.1,532.57
10074,2023-01-03,South,Electronics,Smartphone,2,572.08,0.0,1144.16
10075,2023-01-03,West,Furniture,Table,3,170.16,0.0,510.49
10076,2023-01-03,West,Electronics,Tablet,4,593.05,0.1,2134.98
10077,2023-01-03,West,Furniture,Chair,4,192.91,0.1,694.47
10078,2023-01-03,East,Grocery,Bread,5,5.94,0.05,28.21
10079,2023-01-03,South,Clothing,T-Shirt,3,39.02,0.1,105.36
10080,2023-01-03,South,Electronics,Smartphone,5,416.17,0.1,1872.79
10081,2023-01-03,North,Grocery,Rice,1,4.35,0.0,4.35
10082,2023-01-03,East,Furniture,Bookshelf,1,212.82,0.0,212.82
10083,2023-01-03,North,Grocery,Rice,5,5.22,0.1,23.51
10084,2023-01-03,East,Grocery,Milk,3,5.52,0.0,16.55
10085,2023-01-03,North,Furniture,Bookshelf,5,167.53,0.05,795.78
10086,2023-01-03,South,Furniture,Bookshelf,5,197.93,0.05,940.19
10087,2023-01-03,South,Grocery,Rice,4,4.35,0.05,16.52
10088,2023-01-03,North,Clothing,Jeans,2,47.19,0.15,80.22
10089,2023-01-03,South,Grocery,Eggs,2,5.25,0.05,9.98
10090,2023-01-03,West,Electronics,Tablet,5,536.79,0.15,2281.37
10091,2023-01-03,West,Grocery,Eggs,2,4.05,0.15,6.89
10092,2023-01-03,West,Clothing,Dress,4,38.21,0.15,129.92
10093,2023-01-03,North,Electronics,Laptop,3,564.13,0.15,1438.53
10094,2023-01-03,East,Electronics,Laptop,2,441.34,0.0,882.67
10095,2023-01-03,North,Grocery,Eggs,2,4.08,0.05,7.75
10096,2023-01-03,East,Clothing,T-Shirt,2,37.1,0.05,70.5
10097,2023-01-03,South,Furniture,Table,2,180.86,0.1,325.54
10098,2023-01-03,West,Furniture,Chair,2,210.32,0.0,420.63
10099,2023-01-03,West,Grocery,Rice,5,5.94,0.15,25.22
10100,2023-01-03,South,Electronics,Laptop,3,598.1,0.15,1525.16
10101,2023-01-03,West,Furniture,Chair,5,179.09,0.1,805.89
10102,2023-01-03,North,Clothing,T-Shirt,3,33.65,0.0,100.95
10103,2023-01-03,North,Furniture,Bookshelf,1,185.6,0.1,167.04
10104,2023-01-03,East,Electronics,Tablet,4,591.71,0.1,2130.15
10105,2023-01-03,West,Electronics,Headphones,4,590.01,0.15,2006.04
10106,2023-01-03,West,Clothing,Jeans,5,33.47,0.15,142.24
10107,2023-01-03,North,Grocery,Eggs,5,5.5,0.1,24.77
10108,2023-01-03,West,Electronics,Headphones,5,586.19,0.05,2784.38
10109,2023-01-04,South,Clothing,Jeans,5,43.79,0.0,218.96
10110,2023-01-04,East,Clothing,Jeans,4,43.01,0.05,163.43
10111,2023-01-04,West,Electronics,Laptop,5,444.52,0.0,2222.58
10112,2023-01-04,South,Clothing,Jeans,2,33.3,0.0,66.6
10113,2023-01-04,South,Clothing,Dress,5,37.93,0.15,161.2
10114,2023-01-04,North,Clothing,Jacket,1,41.47,0.15,35.25
10115,2023-01-04,South,Grocery,Eggs,3,5.55,0.05,15.83
10116,2023-01-04,East,Clothing,Jeans,2,37.28,0.05,70.84
10117,2023-01-04,East,Electronics,Laptop,2,493.73,0.05,938.09
10118,2023-01-04,West,Grocery,Bread,5,5.65,0.1,25.41
10119,2023-01-04,North,Clothing,T-Shirt,4,47.39,0.1,170.62
10120,2023-01-04,West,Electronics,Laptop,1,444.72,0.05,422.48
10121,2023-01-04,South,Grocery,Rice,5,4.09,0.0,20.43
10122,2023-01-04,West,Furniture,Chair,3,233.53,0.15,595.5
10123,2023-01-04,East,Clothing,Dress,1,40.37,0.0,40.37
10124,2023-01-04,North,Furniture,Sofa,1,210.2,0.05,199.69
10125,2023-01-04,East,Grocery,Eggs,1,5.83,0.05,5.54
10126,2023-01-04,West,Grocery,Bread,4,4.21,0.0,16.85
10127,2023-01-04,West,Furniture,Bookshelf,4,197.1,0.05,748.96
10128,2023-01-04,West,Furniture,Bookshelf,4,188.83,0.15,642.01
10129,2023-01-04,West,Clothing,Jeans,1,36.48,0.0,36.48
10130,2023-01-04,West,Electronics,Tablet,5,426.64,0.1,1919.87
10131,2023-01-04,North,Furniture,Table,3,218.06,0.1,588.76
10132,2023-01-04,North,Furniture,Table,2,204.13,0.0,408.25
10133,2023-01-04,East,Grocery,Rice,1,4.96,0.1,4.46
10134,2023-01-04,North,Clothing,T-Shirt,2,38.09,0.05,72.38
10135,2023-01-05,East,Electronics,Laptop,1,493.74,0.1,444.36
10136,2023-01-05,East,Electronics,Laptop,4,562.58,0.1,2025.29
10137,2023-01-05,North,Furniture,Sofa,5,206.81,0.0,1034.06
10138,2023-01-05,North,Furniture,Table,3,179.79,0.05,512.4
10139,2023-01-05,North,Furniture,Chair,3,181.98,0.15,464.05
10140,2023-01-05,South,Electronics,Laptop,2,471.63,0.15,801.78
10141,2023-01-05,East,Furniture,Table,2,198.1,0.1,356.57
10142,2023-01-05,East,Furniture,Bookshelf,1,204.15,0.0,204.15
10143,2023-01-05,South,Furniture,Sofa,1,207.2,0.1,186.48
10144,2023-01-05,East,Clothing,Jacket,5,41.92,0.05,199.14
10145,2023-01-05,East,Clothing,Jacket,4,47.69,0.05,181.21
10146,2023-01-05,South,Furniture,Table,3,167.28,0.05,476.75
10147,2023-01-05,West,Electronics,Smartphone,1,556.73,0.15,473.22
10148,2023-01-05,South,Clothing,Jeans,3,43.16,0.0,129.49
10149,2023-01-05,West,Furniture,Bookshelf,1,199.37,0.15,169.46
10150,2023-01-05,West,Grocery,Rice,2,5.24,0.05,9.96
10151,2023-01-05,North,Furniture,Sofa,3,179.21,0.1,483.87
10152,2023-01-05,East,Electronics,Headphones,3,427.77,0.15,1090.8
10153,2023-01-05,West,Grocery,Bread,1,5.79,0.1,5.21
10154,2023-01-05,East,Electronics,Tablet,2,520.39,0.1,936.7
10155,2023-01-05,East,Electronics,Laptop,2,455.72,0.0,911.44
10156,2023-01-05,South,Electronics,Smartphone,1,506.88,0.15,430.85
10157,2023-01-05,South,Furniture,Table,1,200.27,0.0,200.27
10158,2023-01-05,East,Electronics,Smartphone,1,496.23,0.05,471.42
10159,2023-01-05,East,Grocery,Milk,3,5.84,0.0,17.53
10160,2023-01-05,North,Furniture,Bookshelf,1,166.76,0.1,150.09
10161,2023-01-05,North,Grocery,Eggs,2,5.52,0.05,10.49
10162,2023-01-05,West,Furniture,Chair,2,162.93,0.15,276.99
10163,2023-01-05,East,Clothing,Jacket,3,40.51,0.0,121.54
10164,2023-01-05,South,Furniture,Table,3,191.77,0.15,489.02
10165,2023-01-05,North,Clothing,T-Shirt,4,32.32,0.0,129.28
10166,2023-01-05,North,Clothing,Jeans,2,40.57,0.0,81.13
10167,2023-01-05,North,Electronics,Tablet,1,535.82,0.1,482.24
10168,2023-01-05,North,Electronics,Smartphone,4,507.42,0.05,1928.2
10169,2023-01-05,East,Grocery,Bread,1,5.13,0.05,4.87
10170,2023-01-05,North,Electronics,Smartphone,4,529.18,0.05,2010.9
10171,2023-01-05,East,Grocery,Eggs,5,4.66,0.0,23.3
10172,2023-01-05,North,Electronics,Smartphone,5,430.57,0.1,1937.57
10173,2023-01-05,West,Grocery,Milk,3,4.18,0.05,11.9
10174,2023-01-05,East,Grocery,Eggs,1,4.16,0.1,3.74
10175,2023-01-05,East,Grocery,Rice,4,5.99,0.05,22.78
10176,2023-01-05,South,Grocery,Bread,3,5.73,0.05,16.33
10177,2023-01-05,South,Electronics,Smartphone,3,564.17,0.05,1607.89
10178,2023-01-05,East,Clothing,Dress,2,36.48,0.15,62.02
10179,2023-01-05,North,Furniture,Table,4,194.03,0.0,776.14
10180,2023-01-05,West,Electronics,Tablet,1,522.12,0.15,443.81
10181,2023-01-06,North,Furniture,Sofa,4,185.65,0.1,668.34
10182,2023-01-06,North,Furniture,Table,2,203.89,0.05,387.39
10183,2023-01-06,West,Furniture,Chair,2,167.03,0.1,300.65
10184,2023-01-06,North,Electronics,Laptop,1,519.13,0.15,441.26
10185,2023-01-06,South,Clothing,Jacket,1,45.61,0.15,38.77
10186,2023-01-06,West,Furniture,Table,5,218.47,0.0,1092.35
10187,2023-01-06,South,Grocery,Eggs,3,5.85,0.15,14.92
10188,2023-01-06,South,Grocery,Bread,5,4.28,0.0,21.4
10189,2023-01-06,North,Furniture,Bookshelf,3,173.14,0.0,519.42
10190,2023-01-06,East,Clothing,Jeans,2,46.53,0.0,93.05
10191,2023-01-06,North,Furniture,Chair,2,225.33,0.1,405.59
10192,2023-01-06,West,Furniture,Bookshelf,3,209.93,0.0,629.78
10193,2023-01-06,East,Clothing,Jacket,1,35.72,0.0,35.72
10194,2023-01-06,East,Clothing,Jeans,5,46.5,0.1,209.27
10195,2023-01-06,East,Clothing,Jeans,3,42.04,0.15,107.21
10196,2023-01-06,South,Grocery,Bread,5,4.99,0.05,23.71
10197,2023-01-06,East,Clothing,Dress,5,34.43,0.0,172.13
10198,2023-01-06,North,Electronics,Headphones,1,406.71,0.05,386.37
10199,2023-01-06,South,Furniture,Chair,3,220.37,0.05,628.06
10200,2023-01-06,South,Electronics,Headphones,4,491.4,0.15,1670.76
10201,2023-01-06,West,Clothing,T-Shirt,5,39.78,0.15,169.07
10202,2023-01-06,West,Electronics,Smartphone,3,528.23,0.1,1426.22
10203,2023-01-06,West,Grocery,Milk,3,5.2,0.15,13.26
10204,2023-01-06,East,Furniture,Table,2,235.78,0.15,400.83
10205,2023-01-06,South,Electronics,Tablet,2,522.29,0.1,940.12
10206,2023-01-07,West,Clothing,Dress,4,41.04,0.15,139.54
10207,2023-01-07,North,Grocery,Rice,2,5.54,0.1,9.98
10208,2023-01-07,South,Electronics,Smartphone,3,547.29,0.15,1395.59
10209,2023-01-07,North,Furniture,Sofa,1,169.06,0.0,169.06
10210,2023-01-07,South,Furniture,Bookshelf,1,186.57,0.05,177.24
10211,2023-01-07,East,Clothing,Dress,5,38.07,0.0,190.34
10212,2023-01-07,North,Furniture,Bookshelf,1,160.37,0.0,160.37
10213,2023-01-07,East,Clothing,Dress,1,45.82,0.05,43.53
10214,2023-01-07,South,Clothing,Jeans,3,43.8,0.0,131.4
10215,2023-01-07,West,Clothing,Jacket,4,46.6,0.05,177.1
10216,2023-01-07,West,Electronics,Headphones,4,483.79,0.15,1644.87
10217,2023-01-07,North,Electronics,Laptop,3,526.45,0.15,1342.45
10218,2023-01-07,South,Electronics,Laptop,1,592.21,0.0,592.21
10219,2023-01-07,West,Furniture,Table,4,202.81,0.15,689.54
10220,2023-01-07,North,Clothing,T-Shirt,5,38.36,0.1,172.61
10221,2023-01-07,East,Grocery,Eggs,5,5.25,0.0,26.25
10222,2023-01-07,South,Grocery,Bread,3,4.13,0.05,11.77
10223,2023-01-07,East,Clothing,Jeans,2,40.55,0.0,81.1
10224,2023-01-07,South,Furniture,Table,3,172.42,0.0,517.26
10225,2023-01-07,West,Electronics,Headphones,3,474.66,0.05,1352.79
10226,2023-01-07,East,Furniture,Table,4,224.06,0.1,806.62
10227,2023-01-07,West,Grocery,Milk,5,4.82,0.0,24.08
10228,2023-01-07,East,Clothing,Dress,3,40.09,0.15,102.22
10229,2023-01-07,South,Electronics,Headphones,5,435.71,0.0,2178.54
10230,2023-01-07,West,Clothing,Dress,2,44.89,0.15,76.3
10231,2023-01-07,South,Grocery,Bread,3,5.93,0.15,15.11
10232,2023-01-07,North,Furniture,Chair,2,161.04,0.1,289.87
10233,2023-01-08,East,Electronics,Headphones,5,575.29,0.0,2876.44
10234,2023-01-08,West,Furniture,Table,1,225.4,0.15,191.59
10235,2023-01-08,East,Furniture,Sofa,2,189.04,0.1,340.28
10236,2023-01-08,West,Grocery,Rice,5,4.82,0.05,22.89
10237,2023-01-08,North,Furniture,Chair,4,177.56,0.05,674.73
10238,2023-01-08,South,Grocery,Bread,1,5.74,0.15,4.88
10239,2023-01-08,East,Furniture,Sofa,1,198.78,0.0,198.78
10240,2023-01-08,South,Electronics,Tablet,2,526.7,0.1,948.05
10241,2023-01-08,North,Furniture,Table,3,193.74,0.05,552.15
10242,2023-01-08,South,Electronics,Laptop,2,454.46,0.1,818.03
10243,2023-01-08,South,Furniture,Bookshelf,5,225.2,0.0,1126.02
10244,2023-01-08,South,Furniture,Chair,5,212.11,0.05,1007.54
10245,2023-01-08,West,Clothing,T-Shirt,2,34.24,0.1,61.63
10246,2023-01-08,North,Clothing,Jeans,3,41.56,0.15,105.97
10247,2023-01-08,North,Electronics,Laptop,2,582.88,0.05,1107.48
10248,2023-01-08,North,Grocery,Milk,2,4.84,0.05,9.2
10249,2023-01-08,West,Furniture,Sofa,1,166.62,0.15,141.63
10250,2023-01-08,East,Furniture,Chair,5,226.97,0.1,1021.35
10251,2023-01-08,West,Grocery,Rice,3,4.59,0.1,12.4
10252,2023-01-08,South,Furniture,Sofa,5,198.7,0.05,943.83
10253,2023-01-09,East,Grocery,Eggs,3,5.68,0.0,17.05
10254,2023-01-09,South,Clothing,T-Shirt,3,37.35,0.05,106.44
10255,2023-01-09,South,Electronics,Laptop,1,470.31,0.0,470.31
10256,2023-01-09,North,Electronics,Headphones,2,491.94,0.1,885.49
10257,2023-01-09,East,Furniture,Chair,4,215.58,0.05,819.19
10258,2023-01-09,South,Furniture,Bookshelf,3,185.17,0.1,499.95
10259,2023-01-09,East,Electronics,Laptop,1,590.05,0.1,531.04
10260,2023-01-09,North,Clothing,Dress,3,43.72,0.0,131.15
10261,2023-01-09,North,Clothing,T-Shirt,1,46.45,0.15,39.49
10262,2023-01-09,East,Clothing,Jeans,1,47.1,0.1,42.39
10263,2023-01-09,West,Furniture,Bookshelf,1,174.45,0.0,174.45
10264,2023-01-09,South,Furniture,Sofa,5,218.48,0.1,983.17
10265,2023-01-09,West,Grocery,Milk,3,5.89,0.05,16.78
10266,2023-01-09,East,Furniture,Bookshelf,3,185.53,0.05,528.75
10267,2023-01-09,East,Electronics,Smartphone,3,512.14,0.0,1536.41
10268,2023-01-09,South,Clothing,T-Shirt,3,37.44,0.1,101.08
10269,2023-01-09,East,Grocery,Eggs,1,5.08,0.05,4.82
10270,2023-01-09,North,Electronics,Smartphone,1,577.2,0.05,548.34
10271,2023-01-09,West,Furniture,Table,3,229.61,0.05,654.38
10272,2023-01-09,East,Clothing,T-Shirt,5,38.14,0.15,162.11
10273,2023-01-09,East,Clothing,Jacket,4,32.84,0.0,131.37
10274,2023-01-09,North,Furniture,Chair,4,210.2,0.15,714.68
10275,2023-01-09,West,Clothing,T-Shirt,2,33.47,0.1,60.24
10276,2023-01-10,West,Electronics,Laptop,1,422.09,0.05,400.99
10277,2023-01-10,West,Furniture,Table,4,217.24,0.0,868.98
10278,2023-01-10,North,Grocery,Rice,5,5.98,0.0,29.88
10279,2023-01-10,East,Electronics,Laptop,4,443.65,0.05,1685.87
10280,2023-01-10,North,Electronics,Laptop,3,517.71,0.1,1397.82
10281,2023-01-10,West,Clothing,Jeans,3,46.46,0.05,132.41
10282,2023-01-10,North,Clothing,Dress,4,35.71,0.15,121.4
10283,2023-01-10,North,Clothing,Jeans,5,45.29,0.05,215.13
10284,2023-01-10,South,Clothing,Jeans,1,35.53,0.0,35.53
10285,2023-01-10,South,Clothing,Dress,5,32.93,0.1,148.16
10286,2023-01-10,East,Electronics,Laptop,3,519.45,0.0,1558.36
10287,2023-01-10,North,Clothing,Jeans,3,44.13,0.05,125.78
10288,2023-01-10,North,Grocery,Eggs,3,4.45,0.15,11.34
10289,2023-01-10,North,Clothing,T-Shirt,1,46.32,0.0,46.32
10290,2023-01-10,South,Clothing,T-Shirt,3,36.37,0.0,109.1
10291,2023-01-10,North,Clothing,T-Shirt,2,45.79,0.0,91.59
10292,2023-01-10,East,Grocery,Rice,5,5.47,0.05,25.98
10293,2023-01-10,West,Grocery,Eggs,3,5.45,0.05,15.52
10294,2023-01-10,South,Furniture,Chair,4,168.76,0.15,573.78
10295,2023-01-10,North,Electronics,Laptop,2,499.03,0.15,848.35
10296,2023-01-10,South,Electronics,Headphones,2,514.26,0.15,874.25
10297,2023-01-10,South,Grocery,Eggs,5,4.53,0.05,21.54
10298,2023-01-10,West,Clothing,Dress,4,45.61,0.1,164.19
10299,2023-01-10,West,Electronics,Laptop,3,447.74,0.0,1343.21
10300,2023-01-10,South,Grocery,Eggs,3,5.51,0.1,14.86
10301,2023-01-10,North,Clothing,T-Shirt,2,39.45,0.1,71.01
10302,2023-01-11,South,Furniture,Bookshelf,3,178.29,0.1,481.38
10303,2023-01-11,East,Furniture,Bookshelf,2,226.57,0.0,453.14
10304,2023-01-11,West,Clothing,Jeans,5,41.87,0.0,209.35
10305,2023-01-11,North,Electronics,Tablet,2,526.8,0.15,895.56
10306,2023-01-11,North,Clothing,Dress,3,44.18,0.05,125.9
10307,2023-01-11,North,Grocery,Milk,4,5.27,0.05,20.01
10308,2023-01-11,North,Electronics,Smartphone,4,434.75,0.15,1478.15
10309,2023-01-11,South,Grocery,Eggs,1,5.54,0.0,5.54
10310,2023-01-11,South,Furniture,Chair,2,165.98,0.05,315.35
10311,2023-01-11,South,Furniture,Bookshelf,5,195.68,0.1,880.54
10312,2023-01-11,East,Grocery,Rice,4,4.05,0.1,14.58
10313,2023-01-11,North,Furniture,Sofa,3,180.2,0.1,486.54
10314,2023-01-11,South,Furniture,Table,2,239.77,0.0,479.54
10315,2023-01-11,East,Electronics,Laptop,5,538.74,0.15,2289.63
10316,2023-01-11,West,Furniture,Sofa,4,212.36,0.1,764.5
10317,2023-01-11,East,Electronics,Smartphone,4,406.26,0.0,1625.04
10318,2023-01-11,North,Clothing,Dress,5,42.22,0.05,200.53
10319,2023-01-11,East,Electronics,Laptop,3,462.39,0.05,1317.81
10320,2023-01-11,West,Furniture,Sofa,2,177.05,0.15,300.98
10321,2023-01-11,North,Electronics,Tablet,4,512.55,0.15,1742.67
10322,2023-01-11,West,Clothing,Dress,4,34.97,0.0,139.87
10323,2023-01-11,North,Electronics,Tablet,3,568.96,0.15,1450.84
10324,2023-01-11,East,Clothing,T-Shirt,4,32.52,0.15,110.57
10325,2023-01-11,South,Clothing,Dress,1,32.02,0.1,28.82
10326,2023-01-11,North,Furniture,Bookshelf,4,194.42,0.05,738.81
10327,2023-01-11,West,Electronics,Tablet,5,453.8,0.15,1928.64
10328,2023-01-11,West,Clothing,Dress,5,34.39,0.0,171.97
10329,2023-01-11,South,Furniture,Bookshelf,2,198.4,0.1,357.11
10330,2023-01-11,South,Grocery,Eggs,5,5.51,0.15,23.44
10331,2023-01-11,South,Electronics,Tablet,3,496.1,0.15,1265.06
10332,2023-01-11,North,Electronics,Tablet,1,514.18,0.1,462.76
10333,2023-01-11,West,Furniture,Table,4,216.2,0.05,821.55
10334,2023-01-11,West,Grocery,Milk,4,4.14,0.0,16.58
10335,2023-01-11,North,Electronics,Laptop,1,564.9,0.05,536.66
10336,2023-01-11,South,Clothing,Jeans,2,43.03,0.05,81.76
10337,2023-01-11,East,Furniture,Table,4,168.37,0.1,606.12
10338,2023-01-11,North,Clothing,Jacket,1,46.98,0.1,42.28
10339,2023-01-11,East,Grocery,Rice,2,5.87,0.15,9.98
10340,2023-01-11,South,Grocery,Milk,4,4.68,0.1,16.84
10341,2023-01-11,East,Clothing,Jacket,4,40.85,0.05,155.22
10342,2023-01-11,South,Furniture,Table,3,163.26,0.15,416.31
10343,2023-01-11,South,Furniture,Sofa,2,164.83,0.1,296.69
10344,2023-01-12,North,Electronics,Laptop,3,443.84,0.1,1198.38
10345,2023-01-12,South,Grocery,Rice,5,5.58,0.1,25.11
10346,2023-01-12,West,Clothing,Dress,2,32.33,0.1,58.2
10347,2023-01-12,South,Electronics,Tablet,1,498.66,0.15,423.86
10348,2023-01-12,South,Clothing,Jacket,5,33.16,0.1,149.2
10349,2023-01-12,East,Electronics,Headphones,4,434.84,0.0,1739.35
10350,2023-01-12,East,Furniture,Chair,4,210.3,0.15,715.02
10351,2023-01-12,West,Furniture,Bookshelf,4,163.21,0.0,652.83
10352,2023-01-12,East,Grocery,Rice,4,4.06,0.05,15.42
10353,2023-01-12,West,Grocery,Milk,2,5.59,0.1,10.05
10354,2023-01-12,South,Clothing,Jacket,2,46.6,0.15,79.22
10355,2023-01-12,East,Electronics,Smartphone,5,546.62,0.1,2459.8
10356,2023-01-12,South,Grocery,Bread,2,4.48,0.05,8.5
10357,2023-01-12,South,Clothing,T-Shirt,5,33.11,0.0,165.53
10358,2023-01-12,South,Furniture,Bookshelf,5,195.62,0.15,831.4
10359,2023-01-12,East,Electronics,Tablet,2,419.05,0.0,838.1
10360,2023-01-12,East,Electronics,Laptop,4,451.63,0.0,1806.51
10361,2023-01-12,North,Clothing,T-Shirt,4,34.09,0.0,136.38
10362,2023-01-12,East,Clothing,Jacket,3,46.14,0.05,131.5
10363,2023-01-12,South,Grocery,Milk,5,4.67,0.05,22.2
10364,2023-01-12,North,Electronics,Laptop,4,517.58,0.15,1759.76
10365,2023-01-12,North,Electronics,Tablet,4,475.87,0.1,1713.14
10366,2023-01-12,North,Clothing,T-Shirt,4,39.59,0.0,158.38
10367,2023-01-12,West,Grocery,Bread,4,5.73,0.05,21.77
10368,2023-01-12,West,Clothing,T-Shirt,4,36.32,0.05,138.0
10369,2023-01-12,North,Clothing,T-Shirt,4,32.83,0.0,131.31
10370,2023-01-12,East,Clothing,Jeans,5,46.94,0.0,234.71
10371,2023-01-12,North,Electronics,Headphones,4,429.67,0.0,1718.67
10372,2023-01-12,South,Grocery,Eggs,3,4.03,0.0,12.1
10373,2023-01-12,South,Electronics,Laptop,3,497.77,0.15,1269.31
10374,2023-01-12,South,Grocery,Eggs,5,4.29,0.05,20.36
10375,2023-01-13,West,Clothing,Dress,2,35.01,0.1,63.02
10376,2023-01-13,West,Electronics,Tablet,5,592.67,0.1,2667.01
10377,2023-01-13,South,Electronics,Headphones,2,474.86,0.05,902.23
10378,2023-01-13,South,Furniture,Chair,2,229.51,0.15,390.17
10379,2023-01-13,North,Grocery,Eggs,1,5.38,0.0,5.38
10380,2023-01-13,North,Clothing,Jacket,5,42.67,0.0,213.36
10381,2023-01-13,South,Furniture,Bookshelf,2,239.95,0.05,455.91
10382,2023-01-13,East,Electronics,Laptop,1,598.67,0.0,598.67
10383,2023-01-13,North,Electronics,Laptop,1,421.82,0.05,400.73
10384,2023-01-13,North,Furniture,Table,4,213.41,0.05,810.95
